,Is your research data automatically backed up?,Did you lose any research data in the past year?,You said you lost research data in the past year. How much time did you lose?,How frequently do you have problems finding a specific research data file in your collection?,"Do you currently use any dedicated tools for research data management, for example, an electronic lab notebook, or a version control system (such as Git)?",You said that you are currently using tools for data management. What are these tool(s)?,Would you be interested in trying out a dedicated tool for research data management?,Does your project have a data management plan?,Do you know who owns the research data that you are creating?,You said you know who owns the research data that you are creating. Who is it?,Who do you think is responsible for the stewardship of research data resulting from your project?,"Are you aware of funders’ expectations for Findable, Accessible, Interoperable and Reusable (FAIR) data?",Are you aware of research data repositories?,Please provide us with the name(s) of the repository(ies) that you are using,Please indicate if you (or related staff / students) would be interested in any potential training on research data management,Which institution are you from?,Have you heard about dedicated support for research data management at EPFL?,"Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines for data curation (what data to preserve, what metadata and documentation to link to data)]","Among the data curation services indicated below, which would be helpful for your research data management? [Availability of an institutional repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a repository]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for depositing data in a repository (includes choice of datasets to be deposited, choice of metadata, data preparation for depositing, link between datasets and publications)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for data anonymization in case of sensitive data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidelines on data re-use policy (how to find data, how to cite data, legal and ethical aspects)]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for choosing a license to apply to your data]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for cleaning and managing data in the laboratory (evaluation of the data life-cycle management in the laboratory, analysis of data workflows, guidelines on data format and interoperability of datasets)]","Among the data curation services indicated below, which would be helpful for your research data management? [Advice for storage and security issues]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for verifying data integrity and checking data obsolescence]","Among the data curation services indicated below, which would be helpful for your research data management? [Guidance for putting in practice the DMP]","Among the data curation services indicated below, which would be helpful for your research data management? [Support for costing data management]",Do you share data files associated with your publications?,Please specify where you share your data,What is your position?,"Do you know where to look for available ICT resources (e.g. storage options, available software) at TU Delft?",Have you heard of 4TU.Centre for Research Data archive (https://www.4tu.nl/en/research/)?,Have you heard about the Data Stewardship project and dedicated support for data management at your faculty?,What is your position?,Which faculty are you from?
146,Not sure,No,,Frequently,Yes,git,,No,No,,Myself;My supervisor;My university/institution,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions,EPFL,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Not sure,,Postdoc/researcher,,,,,
147,No,No,,Almost never,No,,Yes,No,No,,My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;Data ownership and licensing,EPFL,Yes,Yes,Yes,Yes,Yes,"Yes, urgently",Yes,No,"Yes, urgently",Yes,No,No,No,Not sure,,Technical or scientific support staff,,,,,
148,Yes,No,,Very frequently,Yes,"SLIMS, GIT, cloud shared folders ",,No,Yes,EPFL to the exception of a few cases where companies have contracts with us ,Myself;My unit's IT manager;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,No,Yes,No,"Yes, urgently",Yes,Yes,Yes,Yes,"Yes, sometimes",For structural data we use public repositories as the PDB ! ,Tenure Track Assistant Professor,,,,,
149,No,No,,Sometimes,No,,Not sure,Not sure,Yes, a,Myself;My supervisor;Project partner (e.g. commercial company or a collaborator),No,"Yes, I am aware of research data repositories, but I have not used them",,Not interested in training,EPFL,Yes,No,Yes,Yes,No,Not sure,Yes,Yes,No,No,Yes,Not sure,No,Not sure,,,,,,,
150,Yes,No,,Frequently,No,,Not sure,No,Yes,EPFL,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Funders’ requirements for data management and sharing,EPFL,"Yes, I have already used it",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",Research Gate,Adjunct or MER Professor,,,,,
151,Yes,Yes,7 days - 1 month,Almost never,No,,Yes,No,Yes,Depends on the project. Most of the times EPFL.,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,Data management plan preparation;Using version control software,EPFL,Yes,Yes,No,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes,Yes,"Yes, sometimes",Journals server or our own webpage. ,Associate Professor,,,,,
152,Yes,No,,Almost never,Not sure,,Not sure,No,Not sure,,Myself;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Yes,Yes,Not sure,Not sure,No,No,Yes,Yes,Yes,Yes,Not sure,Yes,No,,Adjunct or MER Professor,,,,,
153,No,Not sure,,Frequently,No,,Not sure,Not sure,Not sure,,Myself;My university/institution,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Not sure,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,,Adjunct or MER Professor,,,,,
154,Not sure,Yes,7 days - 1 month,Sometimes,No,,Yes,Not sure,Yes,EPFL,Myself;My university/institution;my collaborators in my center,No,Not sure,,General introduction to research data management;Data management plan preparation;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Yes,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,"Yes, often",In the EPFL scientific data storage,Adjunct or MER Professor,,,,,
155,Yes,Not sure,,Sometimes,No,,Not sure,No,Not sure,,My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,we are getting a training,EPFL,"Yes, I have already used it","Yes, urgently",Yes,Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, urgently","Yes, urgently",Yes,"Yes, often","e.g., open ABM",Full Professor,,,,,
156,Yes,No,,Never,No,,No,No,Yes,my group,Myself,No,"Yes, I am aware of research data repositories, but I have not used them",,No,EPFL,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,"Yes, sometimes",by email,Adjunct or MER Professor,,,,,
157,No,No,,Sometimes,No,,Yes,No,No,,Myself,No,"No, I have no idea what these are",,General introduction to research data management;How to use repositories for data sharing and searching for existing datasets,EPFL,No,Not sure,Not sure,No,Not sure,No,Not sure,Not sure,No,Not sure,Yes,Yes,Not sure,No,,Technical or scientific support staff,,,,,
158,No,No,,Almost never,No,,Yes,No,Yes,My institution,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",GEO,General introduction to research data management;Data management plan preparation;Data ownership and licensing,EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, often",GEO (gene expression data),Tenure Track Assistant Professor,,,,,
159,Yes,No,,Almost never,Yes,git,,Yes,Yes,EPFL,Myself,Yes,"Yes, I am already using them to find existing datasets or to share my own data",prefer not to,Not interested in training,EPFL,"Yes, I have already used it",Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Yes,"Yes, often",c4science.ch,Associate Professor,,,,,
160,Not sure,No,,Sometimes,No,,Yes,Not sure,Not sure,,My supervisor;My university/institution,No,"No, I have no idea what these are",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;Data ownership and licensing,EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, sometimes",email,Postdoc/researcher,,,,,
161,Not sure,No,,Almost never,No,,Yes,No,No,,Not sure,No,Not sure,,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions,EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Postdoc/researcher,,,,,
162,No,No,,Almost never,No,,No,Not sure,Not sure,,My supervisor,No,"No, I have no idea what these are",,General introduction to research data management;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing,EPFL,Yes,Yes,Not sure,Not sure,No,No,No,No,No,Not sure,No,No,No,No,,Postdoc/researcher,,,,,
163,Yes,No,,Sometimes,Yes,SLIMS,,Yes,Not sure,,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,"Data backup and storage solutions;Data ownership and licensing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,"Yes, sometimes",SLIMS,Postdoc/researcher,,,,,
164,Yes,No,,Almost never,No,,Yes,No,Yes,it is public,Myself;My supervisor;My unit's IT manager;My university/institution;My funding agency,Not sure,"No, I have no idea what these are",,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/);Data café informal drop in sessions",EPFL,No,No,Yes,Not sure,No,Yes,Yes,Yes,No,Yes,Yes,"Yes, urgently","Yes, urgently","Yes, often",Appendix,Postdoc/researcher,,,,,
165,No,No,,Sometimes,No,,Yes,Yes,Yes,Institute and Funding agency,Myself;My supervisor;My funding agency,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data management plan preparation;Data backup and storage solutions,EPFL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Not sure,Not sure,No,,Technical or scientific support staff,,,,,
166,Yes,No,,Never,No,,Yes,Not sure,Yes,The PI of the lab and/or the PI of the study,Myself;My unit's IT manager;My university/institution,No,"Yes, I am aware of research data repositories, but I have not used them",,Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/),EPFL,"Yes, I have already used it",Yes,"Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently","Yes, urgently",Not sure,,Postdoc/researcher,,,,,
167,Yes,No,,Almost never,Yes,"git, PostgreSQL",,Yes,Yes,All in the public domain: Code is released under the GPL v3 and binary data under Creative Commons,Myself,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation;Data ownership and licensing;Using version control software,EPFL,"Yes, I have already used it",Not sure,"Yes, urgently",Yes,Yes,Not sure,Not sure,"Yes, urgently",Yes,Yes,Not sure,Yes,"Yes, urgently","Yes, often","c4science, Github, Gitlab, lab-owned svn server, directly via e-mail",Ambizione Fellow,,,,,
168,Yes,No,,Sometimes,No,,Yes,Not sure,Yes,The owner of the funding and the researchers,Myself;My supervisor,No,Not sure,,General introduction to research data management;Organising folders and files;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,Yes,"Yes, urgently",Not sure,Not sure,"Yes, urgently",Not sure,Yes,Not sure,"Yes, urgently",Yes,Not sure,Yes,Not sure,"Yes, sometimes",cement and concrete researh,Postdoc/researcher,,,,,
169,No,Yes,1 day - 7 days,Never,No,,Yes,No,Yes,The research institution,Myself;My supervisor;My university/institution,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets,EPFL,"Yes, I have already used it",Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,Postdoc/researcher,,,,,
170,Yes,Not sure,,Sometimes,Yes,One Note,,No,Yes,My institution (EPFL),Myself;My supervisor;My university/institution;My funding agency;Project partner (e.g. commercial company or a collaborator),Not sure,Not sure,,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)",EPFL,Yes,"Yes, urgently","Yes, urgently",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, often",Email to people that ask,Postdoc/researcher,,,,,
171,No,No,,Almost never,No,,Yes,Not sure,No,,Myself;My university/institution,Not sure,"Yes, I am already using them to find existing datasets or to share my own data",NCBI,General introduction to research data management;Organising folders and files;Data management plan preparation;Using version control software,EPFL,No,Not sure,Yes,No,No,No,Yes,No,Yes,No,No,Not sure,No,Yes,NCBI,Postdoc/researcher,,,,,
172,Yes,No,,Frequently,No,,Yes,No,Yes,EPFL institute,Myself;My supervisor,Not sure,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management,EPFL,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,"Yes, sometimes",Data Banks (e.g. EMDB),Postdoc/researcher,,,,,
173,No,No,,Almost never,No,,Yes,No,Not sure,,Myself;My university/institution;Project partner (e.g. commercial company or a collaborator),No,"Yes, I am aware of research data repositories, but I have not used them",,Data management plan preparation;Data backup and storage solutions,EPFL,No,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,No,,Postdoc/researcher,,,,,
174,Not sure,No,,Almost never,Yes,"Git, dropbox. Older data just archived.",,Not sure,Yes,EPFL and/or industrial partners in specific projects.,Myself;My university/institution;I think country or European-wide repositories should be created.,No,"Yes, I am aware of research data repositories, but I have not used them",,"Data backup and storage solutions;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.)",EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not sure,Not sure,No,,Postdoc/researcher,,,,,
175,Not sure,No,,Frequently,No,,Not sure,No,Not sure,,Myself,Yes,"Yes, I am aware of research data repositories, but I have not used them",,General introduction to research data management;Data management plan preparation,EPFL,No,Not sure,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,"Yes, often","Dropbox, local server",,,,,,
176,Yes,No,,Sometimes,No,,Yes,No,Yes,Me,Not sure,Yes,"Yes, I am aware of research data repositories, but I have not used them",,Organising folders and files;Data backup and storage solutions;Data ownership and licensing,EPFL,"Yes, I have already used it",Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,,,,,,,
177,Yes,No,,Almost never,No,,Yes,Yes,Not sure,,Myself;My supervisor,Not sure,Not sure,,"General introduction to research data management;Organising folders and files;Data management plan preparation;Data backup and storage solutions;How to use repositories for data sharing and searching for existing datasets;Data ownership and licensing;Using version control software;Funders’ requirements for data management and sharing;Working with confidential data (personally identifiable, commercially sensitive etc.);Data carpentry (http://www.datacarpentry.org/);Software carpentry (https://software-carpentry.org/)",EPFL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,,Postdoc/researcher,,,,,
